"filename", "language", "TypeScript", "Markdown", "JSON", "Ignore", "JavaScript", "Shell Script", "JSON with Comments", "XML", "HTML", "TypeScript JSX", "Docker", "PostCSS", "YAML", "MS SQL", "comment", "blank", "total"
"c:\dev\cloudbox\.github\copilot-instructions.md", "Markdown", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 109
"c:\dev\cloudbox\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 16, 41, 250
"c:\dev\cloudbox\AGENTS.md", "Markdown", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118
"c:\dev\cloudbox\README.md", "Markdown", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 235
"c:\dev\cloudbox\backend\.dockerignore", "Ignore", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 39
"c:\dev\cloudbox\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 27, 21, 79
"c:\dev\cloudbox\backend\package-lock.json", "JSON", 0, 0, 10929, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10930
"c:\dev\cloudbox\backend\package.json", "JSON", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95
"c:\dev\cloudbox\backend\prisma\migrations\20251212064713_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 290, 86, 105, 481
"c:\dev\cloudbox\backend\prisma\migrations\20251212213439_add_composite_indexes\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 6
"c:\dev\cloudbox\backend\prisma\migrations\20251216160000_add_upload_sessions\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 8, 33
"c:\dev\cloudbox\backend\prisma\migrations\20251223050900_add_tags\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 10, 12, 45
"c:\dev\cloudbox\backend\prisma\migrations\20251225044413_add_legal_page_locale\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 3, 15
"c:\dev\cloudbox\backend\prisma\migrations\20251226231314_add_2fa_fields\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 5
"c:\dev\cloudbox\backend\prisma\migrations\20251227012930_add_file_versions\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 5, 23
"c:\dev\cloudbox\backend\prisma\migrations\20251229040000_add_folder_icon\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\dev\cloudbox\backend\scripts\runIntegrationTests.cjs", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\dev\cloudbox\backend\scripts\test-email.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 60
"c:\dev\cloudbox\backend\src\__tests__\admin.test.ts", "TypeScript", 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53, 372
"c:\dev\cloudbox\backend\src\__tests__\auth.test.ts", "TypeScript", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 50, 326
"c:\dev\cloudbox\backend\src\__tests__\files.test.ts", "TypeScript", 442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 87, 552
"c:\dev\cloudbox\backend\src\__tests__\folders.test.ts", "TypeScript", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 80, 390
"c:\dev\cloudbox\backend\src\__tests__\lib\storage.test.ts", "TypeScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 126
"c:\dev\cloudbox\backend\src\__tests__\shares.test.ts", "TypeScript", 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 81, 517
"c:\dev\cloudbox\backend\src\__tests__\summary.test.ts", "TypeScript", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 45, 283
"c:\dev\cloudbox\backend\src\__tests__\upload.integration.test.ts", "TypeScript", 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 86, 496
"c:\dev\cloudbox\backend\src\config\index.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 101
"c:\dev\cloudbox\backend\src\index.ts", "TypeScript", 656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 115, 878
"c:\dev\cloudbox\backend\src\lib\audit.ts", "TypeScript", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 22, 253
"c:\dev\cloudbox\backend\src\lib\bullBoard.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 11, 85
"c:\dev\cloudbox\backend\src\lib\cache.ts", "TypeScript", 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 91, 690
"c:\dev\cloudbox\backend\src\lib\compression.ts", "TypeScript", 385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 84, 516
"c:\dev\cloudbox\backend\src\lib\cors.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 13, 74
"c:\dev\cloudbox\backend\src\lib\documentConversionQueue.ts", "TypeScript", 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 63, 408
"c:\dev\cloudbox\backend\src\lib\email.ts", "TypeScript", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40, 264
"c:\dev\cloudbox\backend\src\lib\encryption.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 23, 124
"c:\dev\cloudbox\backend\src\lib\excelPreview.ts", "TypeScript", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 212
"c:\dev\cloudbox\backend\src\lib\fileAccessCookies.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\dev\cloudbox\backend\src\lib\jwt.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 55
"c:\dev\cloudbox\backend\src\lib\landing.ts", "TypeScript", 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 353
"c:\dev\cloudbox\backend\src\lib\limits.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\dev\cloudbox\backend\src\lib\logger.ts", "TypeScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 137
"c:\dev\cloudbox\backend\src\lib\metrics.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 30, 182
"c:\dev\cloudbox\backend\src\lib\prisma.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 21, 103
"c:\dev\cloudbox\backend\src\lib\security.ts", "TypeScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 59, 405
"c:\dev\cloudbox\backend\src\lib\sentry.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 16, 92
"c:\dev\cloudbox\backend\src\lib\sessionStore.ts", "TypeScript", 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 62, 427
"c:\dev\cloudbox\backend\src\lib\socket.ts", "TypeScript", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 39, 286
"c:\dev\cloudbox\backend\src\lib\storage.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29, 173
"c:\dev\cloudbox\backend\src\lib\storageAccounting.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 18, 126
"c:\dev\cloudbox\backend\src\lib\thumbnail.ts", "TypeScript", 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 74, 504
"c:\dev\cloudbox\backend\src\lib\thumbnailQueue.ts", "TypeScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 49, 357
"c:\dev\cloudbox\backend\src\lib\transcodingQueue.ts", "TypeScript", 545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 94, 734
"c:\dev\cloudbox\backend\src\middleware\auth.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 109
"c:\dev\cloudbox\backend\src\middleware\authOptional.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 111
"c:\dev\cloudbox\backend\src\middleware\emailVerification.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 99
"c:\dev\cloudbox\backend\src\middleware\error.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 26, 198
"c:\dev\cloudbox\backend\src\middleware\requestLogger.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 63
"c:\dev\cloudbox\backend\src\middleware\shareRateLimiter.ts", "TypeScript", 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 32, 272
"c:\dev\cloudbox\backend\src\middleware\upload.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 146
"c:\dev\cloudbox\backend\src\middleware\validate.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 34
"c:\dev\cloudbox\backend\src\prisma\defaults.json", "JSON", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163
"c:\dev\cloudbox\backend\src\prisma\export-defaults.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 83
"c:\dev\cloudbox\backend\src\prisma\seed.ts", "TypeScript", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 218
"c:\dev\cloudbox\backend\src\routes\2fa.ts", "TypeScript", 584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 100, 749
"c:\dev\cloudbox\backend\src\routes\activity.ts", "TypeScript", 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 36, 316
"c:\dev\cloudbox\backend\src\routes\admin.ts", "TypeScript", 2214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 340, 2705
"c:\dev\cloudbox\backend\src\routes\albums.ts", "TypeScript", 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 58, 357
"c:\dev\cloudbox\backend\src\routes\auth.ts", "TypeScript", 757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 133, 978
"c:\dev\cloudbox\backend\src\routes\compression.ts", "TypeScript", 506, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 94, 637
"c:\dev\cloudbox\backend\src\routes\documentPreview.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 28, 191
"c:\dev\cloudbox\backend\src\routes\fileIcons.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 28, 172
"c:\dev\cloudbox\backend\src\routes\files.ts", "TypeScript", 2029, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 372, 2599
"c:\dev\cloudbox\backend\src\routes\folders.ts", "TypeScript", 559, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 126, 741
"c:\dev\cloudbox\backend\src\routes\shares.ts", "TypeScript", 1178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 226, 1478
"c:\dev\cloudbox\backend\src\routes\tags.ts", "TypeScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 61, 347
"c:\dev\cloudbox\backend\src\routes\trash.ts", "TypeScript", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 40, 232
"c:\dev\cloudbox\backend\src\routes\users.ts", "TypeScript", 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 57, 380
"c:\dev\cloudbox\backend\src\routes\versions.ts", "TypeScript", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 44, 281
"c:\dev\cloudbox\backend\src\schemas\index.ts", "TypeScript", 514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 64, 604
