Date : 2025-12-29 02:00:46
Directory : c:\dev\cloudbox
Total : 260 files,  83389 codes, 4280 comments, 8693 blanks, all 96362 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         15 |     28,142 |          0 |         12 |     28,154 |
| TypeScript JSX     |         97 |     26,884 |      1,379 |      2,721 |     30,984 |
| TypeScript         |         96 |     22,489 |      2,561 |      4,116 |     29,166 |
| Markdown           |         19 |      3,678 |          0 |      1,395 |      5,073 |
| PostCSS            |          1 |        657 |         21 |        117 |        795 |
| YAML               |          3 |        474 |         57 |         60 |        591 |
| JavaScript         |          5 |        440 |         52 |         59 |        551 |
| MS SQL             |          8 |        355 |        119 |        137 |        611 |
| XML                |          8 |         63 |          1 |          4 |         68 |
| Shell Script       |          1 |         57 |         28 |         16 |        101 |
| Docker             |          2 |         51 |         46 |         37 |        134 |
| JSON with Comments |          2 |         48 |          0 |          2 |         50 |
| Ignore             |          2 |         37 |         16 |         16 |         69 |
| HTML               |          1 |         14 |          0 |          1 |         15 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        260 |     83,389 |      4,280 |      8,693 |     96,362 |
| . (Files)                                                                                    |          7 |      1,846 |         41 |        122 |      2,009 |
| .github                                                                                      |          2 |        278 |         16 |         65 |        359 |
| .github (Files)                                                                              |          1 |         85 |          0 |         24 |        109 |
| .github\workflows                                                                            |          1 |        193 |         16 |         41 |        250 |
| backend                                                                                      |         86 |     31,457 |      2,389 |      3,847 |     37,693 |
| backend (Files)                                                                              |          6 |     11,132 |         41 |         34 |     11,207 |
| backend\prisma                                                                               |          8 |        355 |        119 |        137 |        611 |
| backend\prisma\migrations                                                                    |          8 |        355 |        119 |        137 |        611 |
